,CLAVE,SITIO,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mgL,CALIDAD_DBO,DQO_mgL,CALIDAD_DQO,SST_mgL,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,SEMAFORO,CONTAMINANTES,,SEMAFOROO
34,DLDUR0003RNL,RIO TUNAL EL NAYAR,DURANGO,DURANGO,RIO DURANGO,RIO TUNAL ,LOTICO,RIO,-104.68379,23.96243,2023,2,Excelente,12,Buena calidad,20,Excelente,4600,Contaminada,Amarillo,"CF,",,Rojo
36,DLDUR0005RNL,ACEQUIA GRANDE AGUAS ABAJO PTAR ORIENTE,DURANGO,DURANGO,RIO DURANGO,ACEQUIA GRANDE,LOTICO,ARROYO,-104.59908,24.02897,2023,52.666,Contaminada,146,Contaminada,20,Excelente,430000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,OD%L,",,Rojo
40,DLDUR0009RNL,PUENTE EL ARENAL,DURANGO,DURANGO,RIO DURANGO,RIO DURANGO,LOTICO,RIO,-104.42666,24.04222,2023,19.4,Aceptable,143.333,Contaminada,126,Aceptable,400,Aceptable,Rojo,"DQO,OD%L,",,Rojo
41,DLDUR0010RNL,HEROE DE NACOZARI (INDEPENDENCIA Y LIBERTAD),DURANGO,DURANGO,RIO DURANGO,RIO DURANGO,LOTICO,RIO,-104.37805,24.02083,2023,13.46965,Aceptable,84,Contaminada,30,Buena calidad,300,Aceptable,Rojo,"DQO,",,Rojo
46,DLDUR0018RNL,RIO TUNAL SAN FELIPE,DURANGO,DURANGO,RIO DURANGO,RIO TUNAL ,LOTICO,RIO,-104.58598,23.99843,2023,15.667,Aceptable,44.333,Contaminada,20,Excelente,240000,Fuertemente contaminada,Rojo,"DQO,CF,",,Rojo
47,DLDUR0019RNL,ARROYO SECO ANTES CONFLUENCIA RIO TUNAL,DURANGO,DURANGO,RIO DURANGO,ARROYO SECO,LOTICO,ARROYO,-104.5937,23.99416,2023,28.7555,Aceptable,30,Aceptable,20,Excelente,90000,Fuertemente contaminada,Amarillo,"CF,OD%L,",,Rojo
48,DLDUR0020RNL,RIO TUNAL PUENTE LIBRAMIENTO ZACATECAS,DURANGO,DURANGO,RIO DURANGO,RIO TUNAL ,LOTICO,RIO,-104.53231,24.05419,2023,8.522,Aceptable,53.333,Contaminada,20,Excelente,300,Aceptable,Rojo,"DQO,",,Rojo
77,DLNAY0021RNL,LAGUNA EL CERRO (EJIDO LAS PILAS),NAYARIT,ROSAMORADA ,RIO ROSA MORADA 2,SUPERFICIAL ,LENTICO,LAGUNA,-105.17069,22.04795,2023,2,Excelente,54,Contaminada,27.27,Buena calidad,10,Excelente,Rojo,"DQO,",,Rojo
78,DLNAY1848,LA ESCONDIDA,NAYARIT,TEPIC,RIO SANTIAGO 6,RIO MOLOLOA,LÓTICO,RIO,-104.89884,21.57551,2023,5.92,Buena calidad,20,Buena calidad,37.5,Buena calidad,17300000,Fuertemente contaminada,Amarillo,"CF,",,Rojo
81,DLPUE0002RNL,P2 LAGUNA DE SAN JUAN EPATLAN (EN DIRECCION A LA DESCARGA DE LA PTAR DEL MUNICIPIO DE XOCHILTEPEC),PUEBLA,EPATLAN,RIO NEXAPA,LAGUNA DE EPATLAN,LÉNTICO,LAGUNA,-98.35386,18.63548,2023,42.1,Contaminada,72.61,Contaminada,20,Excelente,430,Aceptable,Rojo,"DBO,DQO,",,Rojo
92,DLPUE1988,AGUAS ABAJO DE LA DESCARGA TEXTIL ZALDO,PUEBLA,CUAUTLANCINGO,RIO ALTO ATOYAC,RIO ATOYAC,LÓTICO A - TIPO 1,RIO,-98.22961,19.12423,2023,187,Fuertemente contaminada,296.04,Fuertemente contaminada,252,Contaminada,11000000,Fuertemente contaminada,Rojo,"DBO,DQO,SST,CF,E_COLI,",,Verde
93,DLPUE1989,LA AUTOPISTA P1 (24),PUEBLA,PUEBLA,RIO ALTO ATOYAC,RIO ATOYAC,LÓTICO,RIO,-98.23744,19.10108,2023,101.2,Contaminada,189.63,Contaminada,145,Aceptable,33000000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,E_COLI,",,Verde
94,DLPUE1991W1,ANTES DE LA PLANTA DE TRATAMIENTO BARRANCA DEL CONDE,PUEBLA,CUAUTLANCINGO,RIO ALTO ATOYAC,RIO ATOYAC,LÓTICO A - TIPO 1,RIO,-98.23675,19.09719,2023,105.7,Contaminada,131.11,Contaminada,148,Aceptable,460000000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,E_COLI,",,Verde
95,DLPUE1992,"RA-17 RIO ATOYAC, AGUAS ABAJO DE LA BARRANCA DEL CONDE",PUEBLA,CUAUTLANCINGO,RIO ALTO ATOYAC,RIO ATOYAC,LÓTICO A - TIPO 1,RIO,-98.23917,19.09425,2023,110.3,Contaminada,169.17,Contaminada,152,Contaminada,43000000,Fuertemente contaminada,Rojo,"DBO,DQO,SST,CF,E_COLI,",,Verde
96,DLPUE1992M1,"RA-1 RIO ATOYAC, ANTES TLAHUAPAN (ESTACIÓN TESTIGO)",PUEBLA,TLAHUAPAN,RIO ALTO ATOYAC,RIO ATOYAC,LÓTICO,ARROYO,-98.51524,19.36776,2023,17.45,Aceptable,53.66,Contaminada,20,Excelente,11000000,Fuertemente contaminada,Rojo,"DQO,CF,",,Verde
97,DLPUE1993,AGUAS ABAJO DEL COLECTOR PANZACOLA,PUEBLA,CUAUTLANCINGO,RIO ALTO ATOYAC,RIO ATOYAC,LÓTICO A - TIPO 1,RIO,-98.2373,19.15612,2023,115.7,Contaminada,200.76,Fuertemente contaminada,140,Aceptable,23000000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,E_COLI,",,Verde
98,DLPUE2012,RIO ATOTONILCO,PUEBLA,SAN SALVADOR EL VERDE,RIO ALTO ATOYAC,RIO ATOTONILCO,LÓTICO A - TIPO 1,RIO,-98.458,19.32619,2023,22.9,Aceptable,64.4,Contaminada,20,Excelente,20000,Fuertemente contaminada,Rojo,"DQO,CF,",,Verde
99,DLPUE2013,ANTES DE LA CONFLUENCIA CON EL RIO ATOTONILCO,PUEBLA,SAN SALVADOR EL VERDE,RIO ALTO ATOYAC,RIO ATOYAC,LÓTICO A - TIPO 1,RIO,-98.46104,19.32276,2023,20.35,Aceptable,64.4,Contaminada,20,Excelente,11000000,Fuertemente contaminada,Rojo,"DQO,CF,",,Verde
109,DLPUE2022M1,BARRANCA HONDA,PUEBLA,PUEBLA,RIO ALTO ATOYAC,BARRANCA HONDA,LÓTICO,RIO,-98.2275,19.11548,2023,352,Fuertemente contaminada,702,Fuertemente contaminada,226.67,Contaminada,93000000,Fuertemente contaminada,Rojo,"DBO,DQO,SST,CF,E_COLI,",,Amarillo
110,DLPUE2050,ATOYAC LA CARMELITA P1 (26),PUEBLA,PUEBLA,RIO ALTO ATOYAC,RIO ATOYAC,LÓTICO,RIO,-98.26461,18.99215,2023,135,Fuertemente contaminada,210.74,Fuertemente contaminada,215,Contaminada,43000000,Fuertemente contaminada,Rojo,"DBO,DQO,SST,CF,",,Amarillo
