NOM_ENT,LAT,LON
DURANGO,23.96243,-104.68379
DURANGO,24.02897,-104.59908
DURANGO,24.04222,-104.42666
DURANGO,24.02083,-104.37805
DURANGO,23.99843,-104.58598
DURANGO,23.99416,-104.5937
DURANGO,24.05419,-104.53231
NAYARIT,22.04795,-105.17069
NAYARIT,21.57551,-104.89884
PUEBLA,18.63548,-98.35386
PUEBLA,19.12423,-98.22961
PUEBLA,19.10108,-98.23744
PUEBLA,19.09719,-98.23675
PUEBLA,19.09425,-98.23917
PUEBLA,19.36776,-98.51524
PUEBLA,19.15612,-98.2373
PUEBLA,19.32619,-98.458
PUEBLA,19.32276,-98.46104
PUEBLA,19.11548,-98.2275
PUEBLA,18.99215,-98.26461
PUEBLA,18.97201,-98.27811
PUEBLA,18.92408,-98.19187
PUEBLA,18.96966,-98.18956
PUEBLA,18.91068,-98.18208
PUEBLA,18.90425,-98.16672
PUEBLA,18.91253,-98.10851
PUEBLA,19.28912,-98.54273
PUEBLA,19.15785,-98.23805
PUEBLA,19.15794,-98.23858
SAN LUIS POTOSI,21.24365,-98.86863
GUANAJUATO,21.60743,-100.2356
GUANAJUATO,21.60659,-100.23583
GUANAJUATO,21.60651,-100.23675
SAN LUIS POTOSI,21.54214,-98.80353
SAN LUIS POTOSI,21.54222,-98.80689
SAN LUIS POTOSI,22.11634,-99.16711
SAN LUIS POTOSI,22.10966,-99.1594
SAN LUIS POTOSI,21.99941,-98.75941
SAN LUIS POTOSI,21.47138,-98.95701
TLAXCALA,19.3119,-98.262
TLAXCALA,19.19935,-98.24988
TLAXCALA,19.19851,-98.25029
TLAXCALA,19.58521,-98.29277
TLAXCALA,19.57787,-98.28706
TLAXCALA,19.57822,-98.28986
TLAXCALA,19.47545,-98.04836
TLAXCALA,19.32306,-98.21222
TLAXCALA,19.32361,-98.21194
TLAXCALA,19.32694,-98.21639
TLAXCALA,19.3025,-98.16167
TLAXCALA,19.28094,-98.22719
TLAXCALA,19.27844,-98.22681
TLAXCALA,19.27556,-98.22942
TLAXCALA,19.27228,-98.2295
TLAXCALA,19.27175,-98.22631
TLAXCALA,19.27556,-98.22942
